exp_name,hidden_sizes,activation,use_batchnorm,dropout,optimizer,lr_scheduler,weight_decay,l1_lambda,epochs,best_val_acc,test_acc
arch_baseline_512_256_128,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9852,0.9852
arch_shallow_128,[128],relu,True,0.3,adam,step,0.0001,0.0,10,0.9788,0.9788
arch_deep_512_256_128_64,"[512, 256, 128, 64]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9847,0.9847
arch_wide_1024,[1024],relu,True,0.3,adam,step,0.0001,0.0,10,0.9831,0.9831
arch_wide_deep_1024_512_256,"[1024, 512, 256]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9833,0.9833
act_relu,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9852,0.9852
act_gelu,"[512, 256, 128]",gelu,True,0.3,adam,step,0.0001,0.0,10,0.9843,0.9843
drop_00,"[512, 256, 128]",relu,True,0.0,adam,step,0.0001,0.0,10,0.9848,0.9848
drop_01,"[512, 256, 128]",relu,True,0.1,adam,step,0.0001,0.0,10,0.9852,0.9852
drop_03,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9852,0.9852
drop_05,"[512, 256, 128]",relu,True,0.5,adam,step,0.0001,0.0,10,0.9834,0.9834
sched_step,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9852,0.9852
sched_cosine,"[512, 256, 128]",relu,True,0.3,adam,cosine,0.0001,0.0,10,0.9869,0.9869
sched_plateau,"[512, 256, 128]",relu,True,0.3,adam,plateau,0.0001,0.0,10,0.9842,0.9842
lr_1e2,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9722,0.9722
lr_1e3,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9852,0.9852
lr_1e4,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9824,0.9824
es_0,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,30,0.9660,0.9660
es_0,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,30,0.9884,0.9884
es_5,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,30,0.9874,0.9874
es_10,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,30,0.9884,0.9884
bn_on,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9852,0.9852
bn_off,"[512, 256, 128]",relu,False,0.3,adam,step,0.0001,0.0,10,0.9836,0.9836
l2_0,"[512, 256, 128]",relu,True,0.3,adam,step,0.0,0.0,10,0.9851,0.9851
l2_1e5,"[512, 256, 128]",relu,True,0.3,adam,step,1e-05,0.0,10,0.9865,0.9865
l2_1e4,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9852,0.9852
l2_1e3,"[512, 256, 128]",relu,True,0.3,adam,step,0.001,0.0,10,0.9819,0.9819
l1_0,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,10,0.9852,0.9852
l1_1e5,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,1e-05,10,0.9844,0.9844
l1_1e4,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0001,10,0.9805,0.9805
l1_1e3,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.001,10,0.9675,0.9675
opt_adam,"[512, 256, 128]",relu,True,0.3,adam,step,0.0001,0.0,20,0.9874,0.9874
opt_adamw,"[512, 256, 128]",relu,True,0.3,adamw,step,0.0001,0.0,20,0.9872,0.9872
opt_sgd,"[512, 256, 128]",relu,True,0.3,sgd,step,0.0001,0.0,20,0.9792,0.9792
